Country,Date,Forecast Active Cases,Forecast Active Cases Lower Bound,Forecast Active Cases Upper Bound,Forecast Confirmed Cases,Forecast Confirmed Cases Lower Bound,Forecast Confirmed Cases Upper Bound,Forecast New Cases,Forecast New Cases Lower Bound,Forecast New Cases Upper Bound,Lang,Lat,Province,uid
Rwanda,2020-01-22,0,0,0,0,0,0,0,0,0,29.8739,-1.9403,,Rwanda
Belarus,2020-01-22,0,0,0,0,0,0,0,0,0,27.9534,53.7098,,Belarus
Bolivia,2020-01-22,0,0,0,0,0,0,0,0,0,-63.5887,-16.2902,,Bolivia
Kyrgyzstan,2020-01-22,0,0,0,0,0,0,0,0,0,74.7661,41.2044,,Kyrgyzstan
Kenya,2020-01-22,0,0,0,0,0,0,0,0,0,37.9062,-0.0236,,Kenya
Montenegro,2020-01-22,0,0,0,0,0,0,0,0,0,19.3,42.5,,Montenegro
Kosovo,2020-01-22,0,0,0,0,0,0,0,0,0,20.902977,42.602636,,Kosovo
Trinidad and Tobago,2020-01-22,0,0,0,0,0,0,0,0,0,-61.2225,10.6918,,Trinidad and Tobago
Niger,2020-01-22,0,0,0,0,0,0,0,0,0,8.0817,17.6078,,Niger
Georgia,2020-01-22,0,0,0,0,0,0,0,0,0,43.3569,42.3154,,Georgia
Congo (Kinshasa),2020-01-22,0,0,0,0,0,0,0,0,0,21.7587,-4.0383,,Congo (Kinshasa)
Guinea,2020-01-22,0,0,0,0,0,0,0,0,0,-9.6966,9.9456,,Guinea
Kosovo,2020-01-23,0,0,0,0,0,0,0,0,0,20.902977,42.602636,,Kosovo
Rwanda,2020-01-23,0,0,0,0,0,0,0,0,0,29.8739,-1.9403,,Rwanda
Kyrgyzstan,2020-01-23,0,0,0,0,0,0,0,0,0,74.7661,41.2044,,Kyrgyzstan
Georgia,2020-01-23,0,0,0,0,0,0,0,0,0,43.3569,42.3154,,Georgia
Bolivia,2020-01-23,0,0,0,0,0,0,0,0,0,-63.5887,-16.2902,,Bolivia
Niger,2020-01-23,0,0,0,0,0,0,0,0,0,8.0817,17.6078,,Niger
Montenegro,2020-01-23,0,0,0,0,0,0,0,0,0,19.3,42.5,,Montenegro
Belarus,2020-01-23,0,0,0,0,0,0,0,0,0,27.9534,53.7098,,Belarus
Guinea,2020-01-23,0,0,0,0,0,0,0,0,0,-9.6966,9.9456,,Guinea
Kenya,2020-01-23,0,0,0,0,0,0,0,0,0,37.9062,-0.0236,,Kenya
Congo (Kinshasa),2020-01-23,0,0,0,0,0,0,0,0,0,21.7587,-4.0383,,Congo (Kinshasa)
Trinidad and Tobago,2020-01-23,0,0,0,0,0,0,0,0,0,-61.2225,10.6918,,Trinidad and Tobago
Belarus,2020-01-24,0,0,0,0,0,0,0,0,0,27.9534,53.7098,,Belarus
Congo (Kinshasa),2020-01-24,0,0,0,0,0,0,0,0,0,21.7587,-4.0383,,Congo (Kinshasa)
Rwanda,2020-01-24,0,0,0,0,0,0,0,0,0,29.8739,-1.9403,,Rwanda
Georgia,2020-01-24,0,0,0,0,0,0,0,0,0,43.3569,42.3154,,Georgia
Bolivia,2020-01-24,0,0,0,0,0,0,0,0,0,-63.5887,-16.2902,,Bolivia
Niger,2020-01-24,0,0,0,0,0,0,0,0,0,8.0817,17.6078,,Niger
Trinidad and Tobago,2020-01-24,0,0,0,0,0,0,0,0,0,-61.2225,10.6918,,Trinidad and Tobago
Kosovo,2020-01-24,0,0,0,0,0,0,0,0,0,20.902977,42.602636,,Kosovo
Kenya,2020-01-24,0,0,0,0,0,0,0,0,0,37.9062,-0.0236,,Kenya
Kyrgyzstan,2020-01-24,0,0,0,0,0,0,0,0,0,74.7661,41.2044,,Kyrgyzstan
Guinea,2020-01-24,0,0,0,0,0,0,0,0,0,-9.6966,9.9456,,Guinea
Montenegro,2020-01-24,0,0,0,0,0,0,0,0,0,19.3,42.5,,Montenegro
Niger,2020-01-25,0,0,0,0,0,0,0,0,0,8.0817,17.6078,,Niger
Guinea,2020-01-25,0,0,0,0,0,0,0,0,0,-9.6966,9.9456,,Guinea
Kyrgyzstan,2020-01-25,0,0,0,0,0,0,0,0,0,74.7661,41.2044,,Kyrgyzstan
Georgia,2020-01-25,0,0,0,0,0,0,0,0,0,43.3569,42.3154,,Georgia
Rwanda,2020-01-25,0,0,0,0,0,0,0,0,0,29.8739,-1.9403,,Rwanda
Congo (Kinshasa),2020-01-25,0,0,0,0,0,0,0,0,0,21.7587,-4.0383,,Congo (Kinshasa)
Belarus,2020-01-25,0,0,0,0,0,0,0,0,0,27.9534,53.7098,,Belarus
Trinidad and Tobago,2020-01-25,0,0,0,0,0,0,0,0,0,-61.2225,10.6918,,Trinidad and Tobago
Bolivia,2020-01-25,0,0,0,0,0,0,0,0,0,-63.5887,-16.2902,,Bolivia
Kosovo,2020-01-25,0,0,0,0,0,0,0,0,0,20.902977,42.602636,,Kosovo
Montenegro,2020-01-25,0,0,0,0,0,0,0,0,0,19.3,42.5,,Montenegro
Kenya,2020-01-25,0,0,0,0,0,0,0,0,0,37.9062,-0.0236,,Kenya
Niger,2020-01-26,0,0,0,0,0,0,0,0,0,8.0817,17.6078,,Niger
Georgia,2020-01-26,0,0,0,0,0,0,0,0,0,43.3569,42.3154,,Georgia
Rwanda,2020-01-26,0,0,0,0,0,0,0,0,0,29.8739,-1.9403,,Rwanda
Montenegro,2020-01-26,0,0,0,0,0,0,0,0,0,19.3,42.5,,Montenegro
Trinidad and Tobago,2020-01-26,0,0,0,0,0,0,0,0,0,-61.2225,10.6918,,Trinidad and Tobago
Guinea,2020-01-26,0,0,0,0,0,0,0,0,0,-9.6966,9.9456,,Guinea
Congo (Kinshasa),2020-01-26,0,0,0,0,0,0,0,0,0,21.7587,-4.0383,,Congo (Kinshasa)
Kyrgyzstan,2020-01-26,0,0,0,0,0,0,0,0,0,74.7661,41.2044,,Kyrgyzstan
Bolivia,2020-01-26,0,0,0,0,0,0,0,0,0,-63.5887,-16.2902,,Bolivia
Kosovo,2020-01-26,0,0,0,0,0,0,0,0,0,20.902977,42.602636,,Kosovo
Belarus,2020-01-26,0,0,0,0,0,0,0,0,0,27.9534,53.7098,,Belarus
Kenya,2020-01-26,0,0,0,0,0,0,0,0,0,37.9062,-0.0236,,Kenya
Rwanda,2020-01-27,0,0,0,0,0,0,0,0,0,29.8739,-1.9403,,Rwanda
Kyrgyzstan,2020-01-27,0,0,0,0,0,0,0,0,0,74.7661,41.2044,,Kyrgyzstan
Guinea,2020-01-27,0,0,0,0,0,0,0,0,0,-9.6966,9.9456,,Guinea
Congo (Kinshasa),2020-01-27,0,0,0,0,0,0,0,0,0,21.7587,-4.0383,,Congo (Kinshasa)
Kenya,2020-01-27,0,0,0,0,0,0,0,0,0,37.9062,-0.0236,,Kenya
Belarus,2020-01-27,0,0,0,0,0,0,0,0,0,27.9534,53.7098,,Belarus
Niger,2020-01-27,0,0,0,0,0,0,0,0,0,8.0817,17.6078,,Niger
Trinidad and Tobago,2020-01-27,0,0,0,0,0,0,0,0,0,-61.2225,10.6918,,Trinidad and Tobago
Bolivia,2020-01-27,0,0,0,0,0,0,0,0,0,-63.5887,-16.2902,,Bolivia
Montenegro,2020-01-27,0,0,0,0,0,0,0,0,0,19.3,42.5,,Montenegro
Georgia,2020-01-27,0,0,0,0,0,0,0,0,0,43.3569,42.3154,,Georgia
Kosovo,2020-01-27,0,0,0,0,0,0,0,0,0,20.902977,42.602636,,Kosovo
Guinea,2020-01-28,0,0,0,0,0,0,0,0,0,-9.6966,9.9456,,Guinea
Belarus,2020-01-28,0,0,0,0,0,0,0,0,0,27.9534,53.7098,,Belarus
Bolivia,2020-01-28,0,0,0,0,0,0,0,0,0,-63.5887,-16.2902,,Bolivia
Kyrgyzstan,2020-01-28,0,0,0,0,0,0,0,0,0,74.7661,41.2044,,Kyrgyzstan
Rwanda,2020-01-28,0,0,0,0,0,0,0,0,0,29.8739,-1.9403,,Rwanda
Kenya,2020-01-28,0,0,0,0,0,0,0,0,0,37.9062,-0.0236,,Kenya
Georgia,2020-01-28,0,0,0,0,0,0,0,0,0,43.3569,42.3154,,Georgia
Congo (Kinshasa),2020-01-28,0,0,0,0,0,0,0,0,0,21.7587,-4.0383,,Congo (Kinshasa)
Kosovo,2020-01-28,0,0,0,0,0,0,0,0,0,20.902977,42.602636,,Kosovo
Montenegro,2020-01-28,0,0,0,0,0,0,0,0,0,19.3,42.5,,Montenegro
Niger,2020-01-28,0,0,0,0,0,0,0,0,0,8.0817,17.6078,,Niger
Trinidad and Tobago,2020-01-28,0,0,0,0,0,0,0,0,0,-61.2225,10.6918,,Trinidad and Tobago
Rwanda,2020-01-29,0,0,0,0,0,0,0,0,0,29.8739,-1.9403,,Rwanda
Niger,2020-01-29,0,0,0,0,0,0,0,0,0,8.0817,17.6078,,Niger
Trinidad and Tobago,2020-01-29,0,0,0,0,0,0,0,0,0,-61.2225,10.6918,,Trinidad and Tobago
Congo (Kinshasa),2020-01-29,0,0,0,0,0,0,0,0,0,21.7587,-4.0383,,Congo (Kinshasa)
Belarus,2020-01-29,0,0,0,0,0,0,0,0,0,27.9534,53.7098,,Belarus
Kosovo,2020-01-29,0,0,0,0,0,0,0,0,0,20.902977,42.602636,,Kosovo
Bolivia,2020-01-29,0,0,0,0,0,0,0,0,0,-63.5887,-16.2902,,Bolivia
Kyrgyzstan,2020-01-29,0,0,0,0,0,0,0,0,0,74.7661,41.2044,,Kyrgyzstan
Montenegro,2020-01-29,0,0,0,0,0,0,0,0,0,19.3,42.5,,Montenegro
Guinea,2020-01-29,0,0,0,0,0,0,0,0,0,-9.6966,9.9456,,Guinea
Kenya,2020-01-29,0,0,0,0,0,0,0,0,0,37.9062,-0.0236,,Kenya
Georgia,2020-01-29,0,0,0,0,0,0,0,0,0,43.3569,42.3154,,Georgia
Georgia,2020-01-30,0,0,0,0,0,0,0,0,0,43.3569,42.3154,,Georgia
Belarus,2020-01-30,0,0,0,0,0,0,0,0,0,27.9534,53.7098,,Belarus
Bolivia,2020-01-30,0,0,0,0,0,0,0,0,0,-63.5887,-16.2902,,Bolivia
Kosovo,2020-01-30,0,0,0,0,0,0,0,0,0,20.902977,42.602636,,Kosovo
Kyrgyzstan,2020-01-30,0,0,0,0,0,0,0,0,0,74.7661,41.2044,,Kyrgyzstan
Trinidad and Tobago,2020-01-30,0,0,0,0,0,0,0,0,0,-61.2225,10.6918,,Trinidad and Tobago
Montenegro,2020-01-30,0,0,0,0,0,0,0,0,0,19.3,42.5,,Montenegro
Kenya,2020-01-30,0,0,0,0,0,0,0,0,0,37.9062,-0.0236,,Kenya
Rwanda,2020-01-30,0,0,0,0,0,0,0,0,0,29.8739,-1.9403,,Rwanda
Niger,2020-01-30,0,0,0,0,0,0,0,0,0,8.0817,17.6078,,Niger
Guinea,2020-01-30,0,0,0,0,0,0,0,0,0,-9.6966,9.9456,,Guinea
Congo (Kinshasa),2020-01-30,0,0,0,0,0,0,0,0,0,21.7587,-4.0383,,Congo (Kinshasa)
Kenya,2020-01-31,0,0,0,0,0,0,0,0,0,37.9062,-0.0236,,Kenya
Bolivia,2020-01-31,0,0,0,0,0,0,0,0,0,-63.5887,-16.2902,,Bolivia
Kyrgyzstan,2020-01-31,0,0,0,0,0,0,0,0,0,74.7661,41.2044,,Kyrgyzstan
Montenegro,2020-01-31,0,0,0,0,0,0,0,0,0,19.3,42.5,,Montenegro
Guinea,2020-01-31,0,0,0,0,0,0,0,0,0,-9.6966,9.9456,,Guinea
Kosovo,2020-01-31,0,0,0,0,0,0,0,0,0,20.902977,42.602636,,Kosovo
Belarus,2020-01-31,0,0,0,0,0,0,0,0,0,27.9534,53.7098,,Belarus
Niger,2020-01-31,0,0,0,0,0,0,0,0,0,8.0817,17.6078,,Niger
Trinidad and Tobago,2020-01-31,0,0,0,0,0,0,0,0,0,-61.2225,10.6918,,Trinidad and Tobago
Georgia,2020-01-31,0,0,0,0,0,0,0,0,0,43.3569,42.3154,,Georgia
Congo (Kinshasa),2020-01-31,0,0,0,0,0,0,0,0,0,21.7587,-4.0383,,Congo (Kinshasa)
Rwanda,2020-01-31,0,0,0,0,0,0,0,0,0,29.8739,-1.9403,,Rwanda
Rwanda,2020-02-01,0,0,0,0,0,0,0,0,0,29.8739,-1.9403,,Rwanda
Belarus,2020-02-01,0,0,0,0,0,0,0,0,0,27.9534,53.7098,,Belarus
Kenya,2020-02-01,0,0,0,0,0,0,0,0,0,37.9062,-0.0236,,Kenya
Congo (Kinshasa),2020-02-01,0,0,0,0,0,0,0,0,0,21.7587,-4.0383,,Congo (Kinshasa)
Trinidad and Tobago,2020-02-01,0,0,0,0,0,0,0,0,0,-61.2225,10.6918,,Trinidad and Tobago
Montenegro,2020-02-01,0,0,0,0,0,0,0,0,0,19.3,42.5,,Montenegro
Niger,2020-02-01,0,0,0,0,0,0,0,0,0,8.0817,17.6078,,Niger
Kyrgyzstan,2020-02-01,0,0,0,0,0,0,0,0,0,74.7661,41.2044,,Kyrgyzstan
Bolivia,2020-02-01,0,0,0,0,0,0,0,0,0,-63.5887,-16.2902,,Bolivia
Kosovo,2020-02-01,0,0,0,0,0,0,0,0,0,20.902977,42.602636,,Kosovo
Georgia,2020-02-01,0,0,0,0,0,0,0,0,0,43.3569,42.3154,,Georgia
Guinea,2020-02-01,0,0,0,0,0,0,0,0,0,-9.6966,9.9456,,Guinea
Georgia,2020-02-02,0,0,0,0,0,0,0,0,0,43.3569,42.3154,,Georgia
Congo (Kinshasa),2020-02-02,0,0,0,0,0,0,0,0,0,21.7587,-4.0383,,Congo (Kinshasa)
Guinea,2020-02-02,0,0,0,0,0,0,0,0,0,-9.6966,9.9456,,Guinea
Kyrgyzstan,2020-02-02,0,0,0,0,0,0,0,0,0,74.7661,41.2044,,Kyrgyzstan
Belarus,2020-02-02,0,0,0,0,0,0,0,0,0,27.9534,53.7098,,Belarus
Rwanda,2020-02-02,0,0,0,0,0,0,0,0,0,29.8739,-1.9403,,Rwanda
Niger,2020-02-02,0,0,0,0,0,0,0,0,0,8.0817,17.6078,,Niger
Trinidad and Tobago,2020-02-02,0,0,0,0,0,0,0,0,0,-61.2225,10.6918,,Trinidad and Tobago
Montenegro,2020-02-02,0,0,0,0,0,0,0,0,0,19.3,42.5,,Montenegro
Kenya,2020-02-02,0,0,0,0,0,0,0,0,0,37.9062,-0.0236,,Kenya
Bolivia,2020-02-02,0,0,0,0,0,0,0,0,0,-63.5887,-16.2902,,Bolivia
Kosovo,2020-02-02,0,0,0,0,0,0,0,0,0,20.902977,42.602636,,Kosovo
Trinidad and Tobago,2020-02-03,0,0,0,0,0,0,0,0,0,-61.2225,10.6918,,Trinidad and Tobago
Bolivia,2020-02-03,0,0,0,0,0,0,0,0,0,-63.5887,-16.2902,,Bolivia
Congo (Kinshasa),2020-02-03,0,0,0,0,0,0,0,0,0,21.7587,-4.0383,,Congo (Kinshasa)
Niger,2020-02-03,0,0,0,0,0,0,0,0,0,8.0817,17.6078,,Niger
Georgia,2020-02-03,0,0,0,0,0,0,0,0,0,43.3569,42.3154,,Georgia
Kyrgyzstan,2020-02-03,0,0,0,0,0,0,0,0,0,74.7661,41.2044,,Kyrgyzstan
Kenya,2020-02-03,0,0,0,0,0,0,0,0,0,37.9062,-0.0236,,Kenya
Belarus,2020-02-03,0,0,0,0,0,0,0,0,0,27.9534,53.7098,,Belarus
Guinea,2020-02-03,0,0,0,0,0,0,0,0,0,-9.6966,9.9456,,Guinea
Rwanda,2020-02-03,0,0,0,0,0,0,0,0,0,29.8739,-1.9403,,Rwanda
Montenegro,2020-02-03,0,0,0,0,0,0,0,0,0,19.3,42.5,,Montenegro
Kosovo,2020-02-03,0,0,0,0,0,0,0,0,0,20.902977,42.602636,,Kosovo
Bolivia,2020-02-04,0,0,0,0,0,0,0,0,0,-63.5887,-16.2902,,Bolivia
Rwanda,2020-02-04,0,0,0,0,0,0,0,0,0,29.8739,-1.9403,,Rwanda
Trinidad and Tobago,2020-02-04,0,0,0,0,0,0,0,0,0,-61.2225,10.6918,,Trinidad and Tobago
Guinea,2020-02-04,0,0,0,0,0,0,0,0,0,-9.6966,9.9456,,Guinea
Montenegro,2020-02-04,0,0,0,0,0,0,0,0,0,19.3,42.5,,Montenegro
Georgia,2020-02-04,0,0,0,0,0,0,0,0,0,43.3569,42.3154,,Georgia
Belarus,2020-02-04,0,0,0,0,0,0,0,0,0,27.9534,53.7098,,Belarus
Kyrgyzstan,2020-02-04,0,0,0,0,0,0,0,0,0,74.7661,41.2044,,Kyrgyzstan
Kosovo,2020-02-04,0,0,0,0,0,0,0,0,0,20.902977,42.602636,,Kosovo
Congo (Kinshasa),2020-02-04,0,0,0,0,0,0,0,0,0,21.7587,-4.0383,,Congo (Kinshasa)
Niger,2020-02-04,0,0,0,0,0,0,0,0,0,8.0817,17.6078,,Niger
Kenya,2020-02-04,0,0,0,0,0,0,0,0,0,37.9062,-0.0236,,Kenya
Kenya,2020-02-05,0,0,0,0,0,0,0,0,0,37.9062,-0.0236,,Kenya
Kosovo,2020-02-05,0,0,0,0,0,0,0,0,0,20.902977,42.602636,,Kosovo
Rwanda,2020-02-05,0,0,0,0,0,0,0,0,0,29.8739,-1.9403,,Rwanda
Montenegro,2020-02-05,0,0,0,0,0,0,0,0,0,19.3,42.5,,Montenegro
Guinea,2020-02-05,0,0,0,0,0,0,0,0,0,-9.6966,9.9456,,Guinea
Belarus,2020-02-05,0,0,0,0,0,0,0,0,0,27.9534,53.7098,,Belarus
Kyrgyzstan,2020-02-05,0,0,0,0,0,0,0,0,0,74.7661,41.2044,,Kyrgyzstan
Georgia,2020-02-05,0,0,0,0,0,0,0,0,0,43.3569,42.3154,,Georgia
Niger,2020-02-05,0,0,0,0,0,0,0,0,0,8.0817,17.6078,,Niger
Bolivia,2020-02-05,0,0,0,0,0,0,0,0,0,-63.5887,-16.2902,,Bolivia
Congo (Kinshasa),2020-02-05,0,0,0,0,0,0,0,0,0,21.7587,-4.0383,,Congo (Kinshasa)
Trinidad and Tobago,2020-02-05,0,0,0,0,0,0,0,0,0,-61.2225,10.6918,,Trinidad and Tobago
Montenegro,2020-02-06,0,0,0,0,0,0,0,0,0,19.3,42.5,,Montenegro
Niger,2020-02-06,0,0,0,0,0,0,0,0,0,8.0817,17.6078,,Niger
Congo (Kinshasa),2020-02-06,0,0,0,0,0,0,0,0,0,21.7587,-4.0383,,Congo (Kinshasa)
Trinidad and Tobago,2020-02-06,0,0,0,0,0,0,0,0,0,-61.2225,10.6918,,Trinidad and Tobago
Georgia,2020-02-06,0,0,0,0,0,0,0,0,0,43.3569,42.3154,,Georgia
Guinea,2020-02-06,0,0,0,0,0,0,0,0,0,-9.6966,9.9456,,Guinea
Kosovo,2020-02-06,0,0,0,0,0,0,0,0,0,20.902977,42.602636,,Kosovo
Belarus,2020-02-06,0,0,0,0,0,0,0,0,0,27.9534,53.7098,,Belarus
Kyrgyzstan,2020-02-06,0,0,0,0,0,0,0,0,0,74.7661,41.2044,,Kyrgyzstan
Bolivia,2020-02-06,0,0,0,0,0,0,0,0,0,-63.5887,-16.2902,,Bolivia
Rwanda,2020-02-06,0,0,0,0,0,0,0,0,0,29.8739,-1.9403,,Rwanda
Kenya,2020-02-06,0,0,0,0,0,0,0,0,0,37.9062,-0.0236,,Kenya
Congo (Kinshasa),2020-02-07,0,0,0,0,0,0,0,0,0,21.7587,-4.0383,,Congo (Kinshasa)
Guinea,2020-02-07,0,0,0,0,0,0,0,0,0,-9.6966,9.9456,,Guinea
Niger,2020-02-07,0,0,0,0,0,0,0,0,0,8.0817,17.6078,,Niger
Kyrgyzstan,2020-02-07,0,0,0,0,0,0,0,0,0,74.7661,41.2044,,Kyrgyzstan
Georgia,2020-02-07,0,0,0,0,0,0,0,0,0,43.3569,42.3154,,Georgia
Montenegro,2020-02-07,0,0,0,0,0,0,0,0,0,19.3,42.5,,Montenegro
Bolivia,2020-02-07,0,0,0,0,0,0,0,0,0,-63.5887,-16.2902,,Bolivia
Trinidad and Tobago,2020-02-07,0,0,0,0,0,0,0,0,0,-61.2225,10.6918,,Trinidad and Tobago
Belarus,2020-02-07,0,0,0,0,0,0,0,0,0,27.9534,53.7098,,Belarus
Rwanda,2020-02-07,0,0,0,0,0,0,0,0,0,29.8739,-1.9403,,Rwanda
Kosovo,2020-02-07,0,0,0,0,0,0,0,0,0,20.902977,42.602636,,Kosovo
Kenya,2020-02-07,0,0,0,0,0,0,0,0,0,37.9062,-0.0236,,Kenya
Kenya,2020-02-08,0,0,0,0,0,0,0,0,0,37.9062,-0.0236,,Kenya
Georgia,2020-02-08,0,0,0,0,0,0,0,0,0,43.3569,42.3154,,Georgia
Trinidad and Tobago,2020-02-08,0,0,0,0,0,0,0,0,0,-61.2225,10.6918,,Trinidad and Tobago
Kyrgyzstan,2020-02-08,0,0,0,0,0,0,0,0,0,74.7661,41.2044,,Kyrgyzstan
Bolivia,2020-02-08,0,0,0,0,0,0,0,0,0,-63.5887,-16.2902,,Bolivia
Congo (Kinshasa),2020-02-08,0,0,0,0,0,0,0,0,0,21.7587,-4.0383,,Congo (Kinshasa)
Kosovo,2020-02-08,0,0,0,0,0,0,0,0,0,20.902977,42.602636,,Kosovo
Niger,2020-02-08,0,0,0,0,0,0,0,0,0,8.0817,17.6078,,Niger
Montenegro,2020-02-08,0,0,0,0,0,0,0,0,0,19.3,42.5,,Montenegro
Belarus,2020-02-08,0,0,0,0,0,0,0,0,0,27.9534,53.7098,,Belarus
Guinea,2020-02-08,0,0,0,0,0,0,0,0,0,-9.6966,9.9456,,Guinea
Rwanda,2020-02-08,0,0,0,0,0,0,0,0,0,29.8739,-1.9403,,Rwanda
Belarus,2020-02-09,0,0,0,0,0,0,0,0,0,27.9534,53.7098,,Belarus
Bolivia,2020-02-09,0,0,0,0,0,0,0,0,0,-63.5887,-16.2902,,Bolivia
Kosovo,2020-02-09,0,0,0,0,0,0,0,0,0,20.902977,42.602636,,Kosovo
Trinidad and Tobago,2020-02-09,0,0,0,0,0,0,0,0,0,-61.2225,10.6918,,Trinidad and Tobago
Kyrgyzstan,2020-02-09,0,0,0,0,0,0,0,0,0,74.7661,41.2044,,Kyrgyzstan
Congo (Kinshasa),2020-02-09,0,0,0,0,0,0,0,0,0,21.7587,-4.0383,,Congo (Kinshasa)
Niger,2020-02-09,0,0,0,0,0,0,0,0,0,8.0817,17.6078,,Niger
Guinea,2020-02-09,0,0,0,0,0,0,0,0,0,-9.6966,9.9456,,Guinea
Montenegro,2020-02-09,0,0,0,0,0,0,0,0,0,19.3,42.5,,Montenegro
Rwanda,2020-02-09,0,0,0,0,0,0,0,0,0,29.8739,-1.9403,,Rwanda
Georgia,2020-02-09,0,0,0,0,0,0,0,0,0,43.3569,42.3154,,Georgia
Kenya,2020-02-09,0,0,0,0,0,0,0,0,0,37.9062,-0.0236,,Kenya
Niger,2020-02-10,0,0,0,0,0,0,0,0,0,8.0817,17.6078,,Niger
Rwanda,2020-02-10,0,0,0,0,0,0,0,0,0,29.8739,-1.9403,,Rwanda
Montenegro,2020-02-10,0,0,0,0,0,0,0,0,0,19.3,42.5,,Montenegro
Guinea,2020-02-10,0,0,0,0,0,0,0,0,0,-9.6966,9.9456,,Guinea
Kenya,2020-02-10,0,0,0,0,0,0,0,0,0,37.9062,-0.0236,,Kenya
Congo (Kinshasa),2020-02-10,0,0,0,0,0,0,0,0,0,21.7587,-4.0383,,Congo (Kinshasa)
Kyrgyzstan,2020-02-10,0,0,0,0,0,0,0,0,0,74.7661,41.2044,,Kyrgyzstan
Belarus,2020-02-10,0,0,0,0,0,0,0,0,0,27.9534,53.7098,,Belarus
Trinidad and Tobago,2020-02-10,0,0,0,0,0,0,0,0,0,-61.2225,10.6918,,Trinidad and Tobago
Kosovo,2020-02-10,0,0,0,0,0,0,0,0,0,20.902977,42.602636,,Kosovo
Georgia,2020-02-10,0,0,0,0,0,0,0,0,0,43.3569,42.3154,,Georgia
Bolivia,2020-02-10,0,0,0,0,0,0,0,0,0,-63.5887,-16.2902,,Bolivia
Kosovo,2020-02-11,0,0,0,0,0,0,0,0,0,20.902977,42.602636,,Kosovo
Kenya,2020-02-11,0,0,0,0,0,0,0,0,0,37.9062,-0.0236,,Kenya
Rwanda,2020-02-11,0,0,0,0,0,0,0,0,0,29.8739,-1.9403,,Rwanda
Trinidad and Tobago,2020-02-11,0,0,0,0,0,0,0,0,0,-61.2225,10.6918,,Trinidad and Tobago
Belarus,2020-02-11,0,0,0,0,0,0,0,0,0,27.9534,53.7098,,Belarus
Niger,2020-02-11,0,0,0,0,0,0,0,0,0,8.0817,17.6078,,Niger
Congo (Kinshasa),2020-02-11,0,0,0,0,0,0,0,0,0,21.7587,-4.0383,,Congo (Kinshasa)
Bolivia,2020-02-11,0,0,0,0,0,0,0,0,0,-63.5887,-16.2902,,Bolivia
Guinea,2020-02-11,0,0,0,0,0,0,0,0,0,-9.6966,9.9456,,Guinea
Montenegro,2020-02-11,0,0,0,0,0,0,0,0,0,19.3,42.5,,Montenegro
Georgia,2020-02-11,0,0,0,0,0,0,0,0,0,43.3569,42.3154,,Georgia
Kyrgyzstan,2020-02-11,0,0,0,0,0,0,0,0,0,74.7661,41.2044,,Kyrgyzstan
Kosovo,2020-02-12,0,0,0,0,0,0,0,0,0,20.902977,42.602636,,Kosovo
Trinidad and Tobago,2020-02-12,0,0,0,0,0,0,0,0,0,-61.2225,10.6918,,Trinidad and Tobago
Belarus,2020-02-12,0,0,0,0,0,0,0,0,0,27.9534,53.7098,,Belarus
Montenegro,2020-02-12,0,0,0,0,0,0,0,0,0,19.3,42.5,,Montenegro
Georgia,2020-02-12,0,0,0,0,0,0,0,0,0,43.3569,42.3154,,Georgia
Kenya,2020-02-12,0,0,0,0,0,0,0,0,0,37.9062,-0.0236,,Kenya
Rwanda,2020-02-12,0,0,0,0,0,0,0,0,0,29.8739,-1.9403,,Rwanda
Bolivia,2020-02-12,0,0,0,0,0,0,0,0,0,-63.5887,-16.2902,,Bolivia
Kyrgyzstan,2020-02-12,0,0,0,0,0,0,0,0,0,74.7661,41.2044,,Kyrgyzstan
Niger,2020-02-12,0,0,0,0,0,0,0,0,0,8.0817,17.6078,,Niger
Guinea,2020-02-12,0,0,0,0,0,0,0,0,0,-9.6966,9.9456,,Guinea
Congo (Kinshasa),2020-02-12,0,0,0,0,0,0,0,0,0,21.7587,-4.0383,,Congo (Kinshasa)
Kenya,2020-02-13,0,0,0,0,0,0,0,0,0,37.9062,-0.0236,,Kenya
Niger,2020-02-13,0,0,0,0,0,0,0,0,0,8.0817,17.6078,,Niger
Guinea,2020-02-13,0,0,0,0,0,0,0,0,0,-9.6966,9.9456,,Guinea
Kyrgyzstan,2020-02-13,0,0,0,0,0,0,0,0,0,74.7661,41.2044,,Kyrgyzstan
Congo (Kinshasa),2020-02-13,0,0,0,0,0,0,0,0,0,21.7587,-4.0383,,Congo (Kinshasa)
Montenegro,2020-02-13,0,0,0,0,0,0,0,0,0,19.3,42.5,,Montenegro
Bolivia,2020-02-13,0,0,0,0,0,0,0,0,0,-63.5887,-16.2902,,Bolivia
Georgia,2020-02-13,0,0,0,0,0,0,0,0,0,43.3569,42.3154,,Georgia
Kosovo,2020-02-13,0,0,0,0,0,0,0,0,0,20.902977,42.602636,,Kosovo
Belarus,2020-02-13,0,0,0,0,0,0,0,0,0,27.9534,53.7098,,Belarus
Rwanda,2020-02-13,0,0,0,0,0,0,0,0,0,29.8739,-1.9403,,Rwanda
Trinidad and Tobago,2020-02-13,0,0,0,0,0,0,0,0,0,-61.2225,10.6918,,Trinidad and Tobago
Kyrgyzstan,2020-02-14,0,0,0,0,0,0,0,0,0,74.7661,41.2044,,Kyrgyzstan
